"id","name","year","suicides.t","suicid12","suicid18","ppl12","ppl18","totalppl"
"011212001000","Powiat bocheński","2018",44,0,7,16578,6810,106514
"011212001000","Powiat bocheński","2019",49,1,7,16635,6818,106858
"011212001000","Powiat bocheński","2020",51,1,3,17079,7100,106838
"011212001000","Powiat bocheński","2021",70,0,13,16861,7242,106715
"011212001000","Powiat bocheński","2022",65,0,12,16611,7485,106878
"011212006000","Powiat krakowski","2018",42,0,2,40405,17725,277145
"011212006000","Powiat krakowski","2019",37,0,1,40779,17735,279239
"011212006000","Powiat krakowski","2020",39,0,2,46650,18847,295640
"011212006000","Powiat krakowski","2021",42,0,2,46496,19905,298107
"011212006000","Powiat krakowski","2022",66,0,6,45787,21007,300289
"011212008000","Powiat miechowski","2018",17,0,0,6168,2708,49137
"011212008000","Powiat miechowski","2019",16,0,1,6070,2689,48818
"011212008000","Powiat miechowski","2020",20,0,0,6116,2775,47756
"011212008000","Powiat miechowski","2021",18,0,1,6016,2733,47346
"011212008000","Powiat miechowski","2022",17,0,1,5850,2765,46998
"011212009000","Powiat myślenicki","2018",33,0,2,20166,8583,127028
"011212009000","Powiat myślenicki","2019",42,0,5,20378,8420,127600
"011212009000","Powiat myślenicki","2020",55,0,3,21298,8725,129108
"011212009000","Powiat myślenicki","2021",40,0,1,21039,9015,129391
"011212009000","Powiat myślenicki","2022",47,0,8,20602,9366,129538
"011212014000","Powiat proszowicki","2018",15,0,0,5643,2467,43523
"011212014000","Powiat proszowicki","2019",23,0,1,5586,2367,43222
"011212014000","Powiat proszowicki","2020",17,0,3,5677,2572,42760
"011212014000","Powiat proszowicki","2021",13,0,2,5636,2531,42522
"011212014000","Powiat proszowicki","2022",8,0,1,5506,2537,42268
"011212019000","Powiat wielicki","2018",42,0,0,20129,8071,127078
"011212019000","Powiat wielicki","2019",52,0,2,20607,8015,129136
"011212019000","Powiat wielicki","2020",71,0,9,23418,8737,138515
"011212019000","Powiat wielicki","2021",62,1,8,23503,9241,140291
"011212019000","Powiat wielicki","2022",53,0,10,23428,9766,142044
"011212161000","Powiat m. Kraków","2018",260,0,22,100992,35512,771069
"011212161000","Powiat m. Kraków","2019",263,1,29,103949,36532,779115
"011212161000","Powiat m. Kraków","2020",278,2,20,98496,33433,800531
"011212161000","Powiat m. Kraków","2021",314,1,51,99288,35406,802583
"011212161000","Powiat m. Kraków","2022",398,3,43,99327,37653,803282
"011212205000","Powiat gorlicki","2018",19,1,1,15546,6868,109104
"011212205000","Powiat gorlicki","2019",27,0,3,15451,6783,108886
"011212205000","Powiat gorlicki","2020",40,0,2,15734,6942,106921
"011212205000","Powiat gorlicki","2021",26,0,1,15343,7094,106278
"011212205000","Powiat gorlicki","2022",33,0,3,14831,7310,105782
"011212207000","Powiat limanowski","2018",20,0,0,22217,10049,131523
"011212207000","Powiat limanowski","2019",25,0,1,22316,9807,131764
"011212207000","Powiat limanowski","2020",20,0,1,23089,9916,131145
"011212207000","Powiat limanowski","2021",23,0,1,23081,9928,131332
"011212207000","Powiat limanowski","2022",44,0,5,22744,10135,131549
"011212210000","Powiat nowosądecki","2018",75,0,6,35718,16299,216176
"011212210000","Powiat nowosądecki","2019",68,0,4,35749,16062,216796
"011212210000","Powiat nowosądecki","2020",70,1,6,37143,15981,214502
"011212210000","Powiat nowosądecki","2021",85,1,7,36725,16240,214661
"011212210000","Powiat nowosądecki","2022",81,2,15,36093,16602,214933
"011212262000","Powiat m. Nowy Sącz","2018",75,0,6,11503,5235,83896
"011212262000","Powiat m. Nowy Sącz","2019",68,0,4,11487,5209,83794
"011212262000","Powiat m. Nowy Sącz","2020",70,1,6,11334,4846,81435
"011212262000","Powiat m. Nowy Sącz","2021",85,1,7,11123,5171,80979
"011212262000","Powiat m. Nowy Sącz","2022",81,2,15,10837,5328,80587
"011212303000","Powiat chrzanowski","2018",56,0,8,15224,6398,125385
"011212303000","Powiat chrzanowski","2019",60,0,3,15084,6317,124536
"011212303000","Powiat chrzanowski","2020",56,0,1,15013,6407,121759
"011212303000","Powiat chrzanowski","2021",60,1,3,14590,6592,120694
"011212303000","Powiat chrzanowski","2022",58,0,6,14145,6770,119719
